Entity;Code;Year;Annual CO₂ emissions (tonnes )
Portugal;PRT;1870;21984
Portugal;PRT;1871;36640
Portugal;PRT;1872;520288
Portugal;PRT;1873;725472
Portugal;PRT;1874;531280
Portugal;PRT;1875;1168816
Portugal;PRT;1876;1146832
Portugal;PRT;1877;670512
Portugal;PRT;1878;641200
Portugal;PRT;1879;707152
Portugal;PRT;1880;879360
Portugal;PRT;1881;890352
Portugal;PRT;1882;1084544
Portugal;PRT;1883;1139504
Portugal;PRT;1884;1201792
Portugal;PRT;1885;1113856
Portugal;PRT;1886;1231104
Portugal;PRT;1887;1267744
Portugal;PRT;1888;1366672
Portugal;PRT;1889;1571856
Portugal;PRT;1890;1678112
Portugal;PRT;1891;1740400
Portugal;PRT;1892;1692768
Portugal;PRT;1893;1513232
Portugal;PRT;1894;1777040
Portugal;PRT;1895;1696432
Portugal;PRT;1896;1729408
Portugal;PRT;1897;1817344
Portugal;PRT;1898;2081152
Portugal;PRT;1899;2143440
Portugal;PRT;1900;2465872
Portugal;PRT;1901;2388928
Portugal;PRT;1902;2619760
Portugal;PRT;1903;2520832
Portugal;PRT;1904;2579456
Portugal;PRT;1905;2520832
Portugal;PRT;1906;2898224
Portugal;PRT;1907;3162032
Portugal;PRT;1908;3143712
Portugal;PRT;1909;3195008
Portugal;PRT;1910;3249968
Portugal;PRT;1911;3143712
Portugal;PRT;1912;3653008
Portugal;PRT;1913;3858192
Portugal;PRT;1914;3374544
Portugal;PRT;1915;3085088
Portugal;PRT;1916;2989824
Portugal;PRT;1917;1656128
Portugal;PRT;1918;1095536
Portugal;PRT;1919;2158096
Portugal;PRT;1920;2103136
Portugal;PRT;1921;2147104
Portugal;PRT;1922;2960512
Portugal;PRT;1923;2678384
Portugal;PRT;1924;3030128
Portugal;PRT;1925;3121728
Portugal;PRT;1926;3136384
Portugal;PRT;1927;3631024
Portugal;PRT;1928;3993760
Portugal;PRT;1929;3968112
Portugal;PRT;1930;4323520
Portugal;PRT;1931;3920480
Portugal;PRT;1932;3389200
Portugal;PRT;1933;3997424
Portugal;PRT;1934;4096352
Portugal;PRT;1935;4378480
Portugal;PRT;1936;4129328
Portugal;PRT;1937;4931744
Portugal;PRT;1938;4118336
Portugal;PRT;1939;4752208
Portugal;PRT;1940;3898496
Portugal;PRT;1941;3781248
Portugal;PRT;1942;3026464
Portugal;PRT;1943;2942192
Portugal;PRT;1944;3246304
Portugal;PRT;1945;3337904
Portugal;PRT;1946;3891168
Portugal;PRT;1947;5543632
Portugal;PRT;1948;5254176
Portugal;PRT;1949;5521648
Portugal;PRT;1950;5620576
Portugal;PRT;1951;5397072
Portugal;PRT;1952;5353104
Portugal;PRT;1953;5932016
Portugal;PRT;1954;5792784
Portugal;PRT;1955;6463296
Portugal;PRT;1956;7166784
Portugal;PRT;1957;7786000
Portugal;PRT;1958;7558832
Portugal;PRT;1959;7979696
Portugal;PRT;1960;8213508
Portugal;PRT;1961;9078034
Portugal;PRT;1962;9289892
Portugal;PRT;1963;10011581
Portugal;PRT;1964;11007417
Portugal;PRT;1965;11582457
Portugal;PRT;1966;11835094
Portugal;PRT;1967;12391606
Portugal;PRT;1968;12992354
Portugal;PRT;1969;14592809
Portugal;PRT;1970;15236484
Portugal;PRT;1971;16375700
Portugal;PRT;1972;18307327
Portugal;PRT;1973;19945098
Portugal;PRT;1974;20644976
Portugal;PRT;1975;21275271
Portugal;PRT;1976;22325841
Portugal;PRT;1977;22605079
Portugal;PRT;1978;22584896
Portugal;PRT;1979;24855749
Portugal;PRT;1980;26773640
Portugal;PRT;1981;27000662
Portugal;PRT;1982;29000086
Portugal;PRT;1983;29901856
Portugal;PRT;1984;28794035
Portugal;PRT;1985;27129904
Portugal;PRT;1986;30221394
Portugal;PRT;1987;31198633
Portugal;PRT;1988;32567863
Portugal;PRT;1989;40822552
Portugal;PRT;1990;45579086
Portugal;PRT;1991;47206213
Portugal;PRT;1992;51458520
Portugal;PRT;1993;50070050
Portugal;PRT;1994;50820363
Portugal;PRT;1995;54790937
Portugal;PRT;1996;52098076
Portugal;PRT;1997;55108777
Portugal;PRT;1998;59597617
Portugal;PRT;1999;67223505
Portugal;PRT;2000;66044346
Portugal;PRT;2001;65704176
Portugal;PRT;2002;69556728
Portugal;PRT;2003;64437188
Portugal;PRT;2004;67220526
Portugal;PRT;2005;69497372
Portugal;PRT;2006;64770177
Portugal;PRT;2007;62270129
Portugal;PRT;2008;59923525
Portugal;PRT;2009;57077123
Portugal;PRT;2010;52881800
Portugal;PRT;2011;51701800
Portugal;PRT;2012;49877899
Portugal;PRT;2013;48081943
Portugal;PRT;2014;47955777
Portugal;PRT;2015;52195201
Portugal;PRT;2016;50274792
Portugal;PRT;2017;54863556
