species;body_wt (g);brain_wt (mg);non_dreaming;dreaming minutes;total_sleep minutes;life_span;gestation;predation;exposure;danger
Africangiantpouchedrat;1000;6600;378;120;498;5;42;3;1;3
Asianelephant;2547000;4603000;126;108;234;69;624;3;5;4
Baboon;10550;179500;546;42;588;27;180;4;4;4
Bigbrownbat;23;300;948;234;1182;19;35;1;1;1
Braziliantapir;160000;169000;312;60;372;30;392;4;5;4
Cat;3300;25600;654;216;870;28;63;1;2;1
Chimpanzee;52160;440000;498;84;582;50;230;1;1;1
Chinchilla;425;6400;660;90;750;7;112;5;4;4
Cow;465000;423000;192;42;234;30;281;5;5;5
EasternAmericanmole;75;1200;378;126;504;4;42;1;1;1
Echidna;3000;25000;516;0;516;50;28;2;2;2
Europeanhedgehog;785;3500;396;246;642;6;42;2;2;2
Galago;200;5000;570;72;642;10;120;2;2;2
Goat;27660;115000;198;30;228;20;148;5;5;5
Goldenhamster;120;1000;660;204;864;4;16;3;1;2
Grayseal;85000;325000;282;90;372;41;310;1;3;1
Groundsquirrel;101;4000;624;204;828;9;28;5;1;3
Guineapig;1040;5500;444;48;492;8;68;5;3;4
Horse;521000;655000;126;48;174;46;336;5;5;5
Lessershort-tailedshrew;5;140;462;84;546;3;22;5;2;4
Littlebrownbat;10;250;1074;120;1194;24;50;1;1;1
Man;62000;1320000;366;114;480;100;267;1;1;1
Mouse;23;400;714;78;792;3;19;4;1;3
Muskshrew;48;330;648;120;768;2;30;4;1;3
NAmericanopossum;1700;6300;828;336;1164;5;12;2;1;1
Nine-bandedarmadillo;3500;10800;858;186;1044;7;120;2;1;1
Owlmonkey;480;15500;912;108;1020;12;140;2;2;2
Patasmonkey;10000;115000;600;54;654;20;170;4;4;4
Phanlanger;1620;11400;714;108;822;13;17;2;1;2
Pig;192000;180000;390;114;504;27;115;4;4;4
Rabbit;2500;12100;450;54;504;18;31;5;5;5
Rat;280;1900;636;156;792;5;21;3;1;3
Redfox;4235;50400;444;144;588;10;52;1;1;1
Rhesusmonkey;6800;179000;504;72;576;29;164;2;3;2
Rockhyrax(Heterob);750;12300;342;54;396;7;225;2;2;2
Rockhyrax(Procaviahab);3600;21000;294;30;324;6;225;3;2;3
Sheep;55500;175000;192;36;228;20;151;5;5;5
Tenrec;900;2600;660;138;798;5;60;2;1;2
Treehyrax;2000;12300;294;30;324;8;200;3;1;3
Treeshrew;104;2500;792;156;948;2;46;3;2;2
Vervet;4190;58000;582;36;618;24;210;4;3;4
Wateropossum;3500;3900;768;396;1164;3;14;2;1;1
