Column1;claw_length_mm;endangered;size_mm;specie;sub_specie;tail_length_mm;weight_g
0;68;critically_endangered;520;three_toed;Pygmy three-toed sloth;44;3570
1;83;critically_endangered;501;three_toed;Pygmy three-toed sloth;63;2844
2;87;critically_endangered;515;three_toed;Pygmy three-toed sloth;46;1259
3;85;critically_endangered;501;three_toed;Pygmy three-toed sloth;70;2392
4;71;critically_endangered;514;three_toed;Pygmy three-toed sloth;54;3163
5;73;critically_endangered;505;three_toed;Pygmy three-toed sloth;37;3305
6;72;critically_endangered;497;three_toed;Pygmy three-toed sloth;42;2854
7;75;critically_endangered;510;three_toed;Pygmy three-toed sloth;34;3861
8;68;critically_endangered;484;three_toed;Pygmy three-toed sloth;66;4492
9;82;critically_endangered;495;three_toed;Pygmy three-toed sloth;41;964
10;74;critically_endangered;497;three_toed;Pygmy three-toed sloth;44;2551
11;73;critically_endangered;501;three_toed;Pygmy three-toed sloth;69;5494
12;89;critically_endangered;495;three_toed;Pygmy three-toed sloth;62;3066
13;70;critically_endangered;508;three_toed;Pygmy three-toed sloth;63;2897
14;83;critically_endangered;491;three_toed;Pygmy three-toed sloth;55;2444
15;84;critically_endangered;511;three_toed;Pygmy three-toed sloth;48;2837
16;78;critically_endangered;513;three_toed;Pygmy three-toed sloth;45;3732
17;63;critically_endangered;502;three_toed;Pygmy three-toed sloth;55;1759
18;53;critically_endangered;494;three_toed;Pygmy three-toed sloth;51;1417
19;83;critically_endangered;511;three_toed;Pygmy three-toed sloth;62;2575
20;73;critically_endangered;502;three_toed;Pygmy three-toed sloth;61;3390
21;77;critically_endangered;489;three_toed;Pygmy three-toed sloth;56;4526
22;81;critically_endangered;501;three_toed;Pygmy three-toed sloth;51;1976
23;84;critically_endangered;515;three_toed;Pygmy three-toed sloth;62;1916
24;94;critically_endangered;509;three_toed;Pygmy three-toed sloth;64;4569
25;71;critically_endangered;498;three_toed;Pygmy three-toed sloth;52;2752
26;90;critically_endangered;504;three_toed;Pygmy three-toed sloth;51;2919
27;86;critically_endangered;506;three_toed;Pygmy three-toed sloth;38;2976
28;71;critically_endangered;502;three_toed;Pygmy three-toed sloth;54;2329
29;67;critically_endangered;512;three_toed;Pygmy three-toed sloth;72;2128
30;76;critically_endangered;488;three_toed;Pygmy three-toed sloth;55;2495
31;78;critically_endangered;477;three_toed;Pygmy three-toed sloth;41;1960
32;80;critically_endangered;506;three_toed;Pygmy three-toed sloth;71;1383
33;70;critically_endangered;512;three_toed;Pygmy three-toed sloth;61;2349
34;63;critically_endangered;498;three_toed;Pygmy three-toed sloth;64;2717
35;76;critically_endangered;512;three_toed;Pygmy three-toed sloth;60;2858
36;60;critically_endangered;494;three_toed;Pygmy three-toed sloth;60;2842
37;88;critically_endangered;504;three_toed;Pygmy three-toed sloth;48;1550
38;86;critically_endangered;508;three_toed;Pygmy three-toed sloth;47;4363
39;71;critically_endangered;520;three_toed;Pygmy three-toed sloth;57;3116
40;79;critically_endangered;491;three_toed;Pygmy three-toed sloth;43;3130
41;76;critically_endangered;509;three_toed;Pygmy three-toed sloth;64;3097
42;55;critically_endangered;504;three_toed;Pygmy three-toed sloth;57;3525
43;79;critically_endangered;513;three_toed;Pygmy three-toed sloth;52;3850
44;59;critically_endangered;490;three_toed;Pygmy three-toed sloth;64;1407
45;71;critically_endangered;503;three_toed;Pygmy three-toed sloth;54;1634
46;79;critically_endangered;506;three_toed;Pygmy three-toed sloth;48;2636
47;85;critically_endangered;501;three_toed;Pygmy three-toed sloth;57;5745
48;81;critically_endangered;493;three_toed;Pygmy three-toed sloth;55;2664
49;72;critically_endangered;511;three_toed;Pygmy three-toed sloth;57;4442
50;70;critically_endangered;498;three_toed;Pygmy three-toed sloth;68;1965
51;72;critically_endangered;497;three_toed;Pygmy three-toed sloth;47;948
52;74;critically_endangered;500;three_toed;Pygmy three-toed sloth;65;1333
53;66;critically_endangered;498;three_toed;Pygmy three-toed sloth;62;3968
54;73;critically_endangered;487;three_toed;Pygmy three-toed sloth;54;5700
55;73;critically_endangered;487;three_toed;Pygmy three-toed sloth;57;2015
56;61;critically_endangered;507;three_toed;Pygmy three-toed sloth;60;3438
57;85;critically_endangered;520;three_toed;Pygmy three-toed sloth;42;3204
58;53;critically_endangered;495;three_toed;Pygmy three-toed sloth;57;3091
59;82;critically_endangered;514;three_toed;Pygmy three-toed sloth;50;1769
60;84;critically_endangered;506;three_toed;Pygmy three-toed sloth;52;2678
61;89;critically_endangered;513;three_toed;Pygmy three-toed sloth;63;3888
62;81;critically_endangered;517;three_toed;Pygmy three-toed sloth;36;3233
63;75;critically_endangered;512;three_toed;Pygmy three-toed sloth;59;4394
