type;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;id
1;700;27;36;2070;4;4500;17000;100;300;45;880;6;1
1;630;30;34;160;5;1400;13200;99;330;49;950;6;2
1;810;28;40;690;5;3000;9700;100;326;44;1010;6;3
1;720;23;32;850;6;4700;18600;100;319;40;990;6;4
1;720;23;32;850;6;4700;18600;100;319;40;990;6;5
1;810;28;40;690;5;3000;9700;100;326;44;1010;6;6
1;620;32;16;700;4;3000;13600;99;318;47;960;6;7
1;700;27;36;2070;4;4500;17000;100;300;45;880;6;8
1;630;30;34;160;5;1400;13200;99;330;49;950;6;9
1;810;22;43;150;4;2800;12900;99;322;45;1100;6;10
1;810;27;41;145;3;1100;6300;99;299;56;1200;5;11
1;860;23;40;420;4;1700;10900;99;314;53;970;5;12
1;790;18;37;120;4;1600;7500;99;318;63;1080;5;13
1;660;16;40;150;4;4800;14300;99;354;52;1240;7;14
1;830;42;62;1925;4;4100;17200;100;298;67;970;5;15
1;660;17;38;150;3;2800;11200;99;325;55;1140;7;16
1;630;48;4;110;5;3000;9900;99;324;36;960;6;17
1;740;34;42;110;3;1700;17100;99;312;53;1130;6;18
1;650;31;14;750;4;3400;13300;100;322;50;950;5;19
1;620;66;48;120;3;2900;7500;99;333;39;1280;8;20
1;640;31;38;290;4;1900;10200;99;317;35;1100;7;21
1;680;26;42;170;5;4100;12200;99;347;48;1050;8;22
1;760;67;14;150;7;2500;16800;99;305;51;930;5;23
1;660;27;41;130;5;1600;14200;100;342;47;1000;6;24
1;700;25;32;900;5;5600;24500;100;325;50;1040;6;25
1;690;24;35;100;5;3500;14600;99;345;44;1000;6;26
1;700;28;39;870;5;3200;14100;100;338;53;1050;6;27
1;740;27;48;110;5;1700;13200;99;319;49;1160;6;28
1;720;32;36;200;3;3700;11400;99;310;71;1230;7;29
1;850;24;39;1040;4;2000;14200;100;320;53;1000;6;30
1;830;14;34;110;4;700;4700;99;347;40;1020;6;31
1;740;25;36;205;5;3100;10000;99;319;44;1080;6;32
1;580;27;20;1495;4;2200;17900;100;337;37;1020;5;33
1;730;28;43;170;8;2100;12300;99;319;42;1280;5;34
1;650;39;23;540;5;2500;14900;99;324;35;1000;5;35
1;700;33;32;120;5;3800;13800;99;313;28;1120;6;36
1;730;24;39;1795;6;4500;14900;100;321;36;860;5;37
1;730;24;39;1795;6;4500;14900;100;321;36;860;5;38
1;670;23;39;250;17;6300;15800;99;311;36;940;6;39
1;670;24;39;290;17;6300;15700;99;310;34;940;6;40
1;700;31;26;740;7;2800;16000;100;313;46;980;6;41
1;660;24;27;140;6;3300;15200;99;322;56;950;6;42
1;670;23;26;140;6;3300;15400;99;324;56;950;6;43
1;740;18;31;140;6;3800;16700;99;316;53;1000;7;44
1;620;45;26;440;6;6300;20600;99;327;52;980;4;45
1;620;46;25;440;7;6200;20700;99;325;52;980;5;46
1;700;31;26;740;7;2800;16000;100;313;46;980;6;47
1;690;19;35;500;7;3200;15000;100;336;48;980;5;48
1;720;19;31;160;6;3100;17300;99;335;44;1170;6;49
1;660;25;29;110;7;3900;12400;99;334;58;1100;7;50
1;620;16;33;110;6;2100;8200;99;332;46;1090;7;51
1;640;18;35;100;4;3900;10800;99;331;35;1090;6;52
1;690;25;35;130;4;2900;19100;99;313;52;1100;6;53
1;720;21;34;1190;4;3700;21300;100;309;50;960;6;54
1;600;19;26;1240;5;5000;14700;100;330;36;890;6;55
1;660;38;15;460;4;2500;7800;99;311;38;1020;6;56
1;740;20;36;120;4;4400;11100;99;336;34;990;6;57
1;680;22;24;490;9;3000;12300;100;303;46;860;6;58
1;600;19;26;1240;5;5000;14700;100;330;36;890;6;59
1;700;47;7;110;4;1700;15100;99;302;34;1050;5;60
1;660;38;15;460;4;2500;7800;99;311;38;1020;6;61
1;720;24;27;140;4;3100;12200;99;315;46;1030;6;62
1;620;35;3;120;6;2900;12000;99;322;54;910;5;63
1;640;26;24;640;4;2700;12400;99;322;49;1260;7;64
1;670;25;13;120;4;8100;17400;99;314;42;980;5;65
1;670;23;31;210;5;3000;9600;99;333;64;1070;8;66
1;740;24;29;1010;5;2100;10500;100;313;35;950;5;67
1;620;27;43;780;6;4800;24400;100;310;51;900;6;68
1;680;30;23;460;6;5050;23850;100;332;60;950;5;69
1;600;27;28;480;6;3100;20100;100;369;71;1000;5;70
1;860;23;46;100;5;900;7200;99;295;49;910;6;71
1;670;23;31;210;5;3000;9600;99;333;64;1070;8;72
1;740;24;29;1010;5;2100;10500;100;313;35;950;5;73
1;710;18;36;140;4;3100;8700;99;326;37;1270;7;74
1;700;32;34;130;4;2000;6900;99;331;65;1200;7;75
1;740;18;30;880;6;2600;10300;100;294;56;930;5;76
1;670;54;28;540;6;2100;10500;99;327;37;900;5;77
1;680;22;31;140;5;3400;11400;99;339;77;1060;6;78
1;710;20;34;1600;5;5100;16600;100;321;60;920;6;79
1;710;34;20;610;6;4700;16400;99;317;42;1000;5;80
1;730;22;30;820;5;4200;20700;100;333;46;950;6;81
1;710;43;61;1180;4;5400;15500;100;311;45;870;5;82
1;710;44;62;1180;4;5200;15200;100;312;46;870;6;83
1;680;25;31;1330;5;6900;20200;100;322;48;970;6;84
1;710;43;61;1180;4;5400;15500;100;311;45;870;5;85
1;710;44;62;1180;4;5200;15200;100;312;46;870;6;86
1;720;39;63;1100;4;5500;15600;100;309;44;870;6;87
1;610;27;43;750;5;6500;24300;100;312;47;900;5;88
1;690;24;33;170;4;4700;13600;99;326;40;1260;7;89
1;690;21;33;180;3;4800;13600;99;325;41;1260;7;90
1;750;17;32;170;4;5100;14800;99;321;44;1150;7;91
1;710;26;29;1240;4;6200;24000;100;304;42;920;6;92
1;600;34;66;1590;5;2600;16400;100;314;50;880;6;93
1;860;26;36;120;3;1500;8000;99;295;36;1140;7;94
1;600;34;66;1590;5;2600;16400;100;314;50;880;6;95
1;740;25;37;1350;6;5200;19200;100;300;44;910;5;96
1;710;12;32;960;5;6400;16200;100;340;41;940;5;97
1;600;21;24;1210;5;5500;16400;100;334;39;940;5;98
1;750;30;40;1890;6;4400;17000;100;299;46;900;5;99
1;740;25;37;1350;6;5200;19200;100;300;44;910;5;100
1;730;13;32;1440;5;3400;10900;100;320;35;920;6;101
1;710;12;32;960;5;6400;16200;100;340;41;940;5;102
1;710;23;35;1650;4;6000;17100;100;316;59;910;6;103
1;710;23;35;1650;4;6000;17100;100;316;59;910;6;104
1;690;33;28;130;5;3700;18700;99;327;60;1030;5;105
1;650;17;54;850;8;6400;16300;100;289;39;880;6;106
1;720;27;46;1875;5;4500;25500;100;304;52;890;5;107
1;720;31;50;1330;6;6800;19500;100;301;47;920;5;108
1;670;41;34;920;5;2900;15000;100;322;51;910;5;109
1;670;41;34;920;5;2900;15000;100;322;51;910;5;110
1;550;48;0;150;6;800;10300;99;363;40;970;4;111
1;600;31;24;330;4;2500;14300;99;331;44;1130;6;112
1;700;14;40;170;4;1600;8500;99;319;42;1180;6;113
1;720;31;50;1330;6;6800;19500;100;301;47;920;5;114
1;730;32;48;1330;6;5700;19600;100;304;50;920;5;115
1;590;36;4;570;5;2100;8700;99;322;51;1020;5;116
1;780;24;32;1220;5;4200;13800;100;301;54;880;5;117
1;740;16;31;685;6;3100;13100;100;329;34;970;5;118
1;690;19;28;500;6;1400;14600;100;329;36;910;6;119
1;640;13;47;160;9;4000;15800;99;321;36;980;6;120
1;670;19;36;110;3;6300;14300;99;327;48;1100;6;121
1;740;39;23;700;3;2900;12600;99;314;42;1050;5;122
1;650;24;32;760;4;4800;20300;100;345;54;970;7;123
1;610;30;56;280;4;4700;17900;99;330;57;1090;7;124
1;610;30;56;270;5;4600;18400;99;331;57;1090;6;125
1;570;26;25;1040;2;700;5700;99;339;37;1060;5;126
1;650;24;32;760;4;4800;20300;100;345;54;970;7;127
1;650;42;40;1310;4;5900;24100;100;323;57;900;5;128
1;660;24;27;1580;4;4600;18800;100;324;51;920;5;129
1;680;27;22;810;3;5500;20300;100;319;52;890;5;130
1;670;27;31;1570;4;4400;17900;100;326;56;960;5;131
1;820;23;40;120;3;3600;12100;99;312;38;1070;6;132
1;710;37;67;1050;4;4900;15500;100;316;44;870;5;133
1;680;19;36;190;4;3000;9600;99;315;54;1080;7;134
1;630;31;34;220;4;2000;7700;99;330;43;1020;5;135
1;710;37;67;1050;4;4900;15500;100;316;44;870;5;136
1;790;21;40;120;4;3800;10700;99;321;54;1080;6;137
1;850;21;41;430;4;2400;9900;99;318;53;970;6;138
1;810;20;40;200;4;1900;8700;99;312;54;1120;6;139
1;630;26;37;110;4;3700;11400;99;300;39;1090;6;140
1;560;16;27;140;4;5300;16800;99;328;37;1010;6;141
1;640;60;14;520;6;1500;9700;100;338;36;900;4;142
1;630;34;33;460;3;1900;8000;99;338;58;1200;7;143
1;690;25;30;410;5;2300;11600;99;299;38;940;6;144
1;790;22;38;800;4;4600;15200;99;312;32;1150;7;145
1;760;18;46;1020;6;5800;13500;100;314;43;990;6;146
1;690;25;30;410;5;2300;11600;99;299;38;940;6;147
1;720;18;41;120;5;4100;9700;99;314;45;1040;5;148
1;820;23;40;750;5;1200;7600;100;306;84;970;6;149
1;740;24;42;1400;7;4800;19800;100;289;42;890;6;150
1;740;24;42;1400;7;4800;19800;100;289;42;890;6;151
1;610;32;24;150;4;3800;12400;99;329;42;1240;7;152
1;520;44;4;140;4;4300;11900;99;336;33;1210;8;153
1;520;44;4;140;4;4300;11900;99;336;33;1210;8;154
1;610;32;24;150;4;3800;12400;99;329;42;1240;7;155
1;640;22;56;1450;6;2700;15900;100;298;40;910;5;156
1;630;36;30;480;5;1400;8500;99;328;39;1060;5;157
1;740;24;42;1400;7;4800;19800;100;289;42;890;6;158
1;670;24;35;1310;5;6400;20500;100;315;50;950;5;159
1;700;23;36;1300;5;7200;17700;100;316;49;980;5;160
1;840;27;46;870;5;3900;19700;100;314;59;960;6;161
1;670;46;18;240;3;2500;9800;99;308;44;1260;7;162
1;750;29;31;895;6;2000;15100;100;308;54;930;5;163
1;980;42;48;985;3;500;11000;100;287;29;1000;5;164
1;710;30;46;150;7;2900;13300;99;312;54;1270;6;165
1;790;19;45;150;4;1700;9600;99;313;39;1100;6;166
1;760;48;37;80;4;400;10000;99;303;39;1140;4;167
1;630;22;43;455;4;3100;13000;99;335;33;1150;7;168
1;690;23;40;750;4;5000;15100;99;311;27;1140;6;169
1;720;32;47;510;4;1900;6500;99;303;41;1260;4;170
