Date;Open;High;Low;Close;Adj Close;Volume
17/09/2014;466;468;452;457;457;21056800
18/09/2014;457;457;413;424;424;34483200
19/09/2014;424;428;385;395;395;37919700
20/09/2014;395;423;390;409;409;36863600
21/09/2014;408;412;393;399;399;26580100
22/09/2014;399;407;397;402;402;24127600
23/09/2014;402;442;396;436;436;45099500
24/09/2014;436;436;421;423;423;30627700
25/09/2014;423;424;409;412;412;26814400
26/09/2014;411;415;400;404;404;21460800
27/09/2014;404;407;397;400;400;15029300
28/09/2014;399;401;374;377;377;23613300
29/09/2014;377;385;372;375;375;32497700
30/09/2014;376;391;373;387;387;34707300
01/10/2014;387;391;381;384;384;26229400
02/10/2014;384;385;373;375;375;21777700
03/10/2014;375;378;358;360;360;30901200
04/10/2014;360;364;326;329;329;47236500
05/10/2014;329;342;289;321;321;83308096
06/10/2014;320;345;303;330;330;79011800
07/10/2014;331;339;320;336;336;49199900
08/10/2014;336;354;327;353;353;54736300
09/10/2014;353;383;348;365;365;83641104
10/10/2014;365;375;353;362;362;43665700
11/10/2014;361;367;356;362;362;13345200
12/10/2014;363;379;356;379;379;17552800
13/10/2014;378;397;369;390;390;35221400
14/10/2014;392;412;391;401;401;38491500
15/10/2014;401;402;389;395;395;25267100
16/10/2014;395;399;373;383;383;26990000
17/10/2014;383;385;375;384;384;13600700
18/10/2014;384;395;379;391;391;11416800
19/10/2014;391;394;386;390;390;5914570
20/10/2014;389;390;378;383;383;16419000
21/10/2014;382;393;381;386;386;14188900
22/10/2014;386;389;382;383;383;11641300
23/10/2014;383;385;356;358;358;26456900
24/10/2014;359;364;353;358;358;15585700
25/10/2014;359;360;343;347;347;18127500
26/10/2014;347;359;344;355;355;11272500
27/10/2014;355;359;350;353;353;13033000
28/10/2014;353;360;353;358;358;7845880
29/10/2014;357;358;335;336;336;18192700
30/10/2014;336;351;335;345;345;30177900
31/10/2014;345;348;337;338;338;12545400
01/11/2014;339;341;321;326;326;16677200
02/11/2014;326;329;321;326;326;8603620
03/11/2014;326;334;325;328;328;12948500
04/11/2014;327;332;325;330;330;15655500
05/11/2014;331;343;331;339;339;19817200
06/11/2014;339;353;338;349;349;18797000
07/11/2014;350;353;342;342;342;16834200
08/11/2014;342;347;342;345;345;8535470
09/11/2014;345;364;344;363;363;24205600
10/11/2014;362;375;358;367;367;30450100
11/11/2014;366;371;364;368;368;15838900
12/11/2014;368;430;368;424;424;45783200
13/11/2014;427;457;401;421;421;58945000
14/11/2014;418;419;385;398;398;29589200
15/11/2014;400;406;371;376;376;15727500
16/11/2014;375;391;375;388;388;11905600
17/11/2014;388;410;378;387;387;41518800
18/11/2014;388;392;371;375;375;32222500
19/11/2014;374;386;374;381;381;18931800
20/11/2014;380;382;357;358;358;25233200
21/11/2014;358;358;344;351;351;29850100
22/11/2014;352;365;351;353;353;15273000
23/11/2014;353;371;353;368;368;15151600
24/11/2014;367;387;367;377;377;30930100
25/11/2014;377;395;375;375;375;25442200
26/11/2014;376;378;366;368;368;18601700
27/11/2014;371;374;368;370;370;8748030
28/11/2014;369;383;358;376;376;22946500
29/11/2014;376;388;372;375;375;15375600
30/11/2014;376;383;373;378;378;9194440
01/12/2014;378;384;377;379;379;11763000
02/12/2014;379;384;378;381;381;12364100
03/12/2014;382;383;374;375;375;13340100
04/12/2014;376;379;368;370;370;14529600
05/12/2014;369;379;366;377;377;15181800
06/12/2014;377;378;371;375;375;7009320
07/12/2014;375;376;373;375;375;6491650
08/12/2014;375;376;362;362;362;18898700
09/12/2014;362;363;345;352;352;32915500
10/12/2014;352;352;346;346;346;16427700
11/12/2014;344;361;339;351;351;32431300
12/12/2014;351;353;349;353;353;16989800
13/12/2014;352;352;347;347;347;11675900
14/12/2014;347;353;345;352;352;12415200
15/12/2014;351;352;345;345;345;17264200
16/12/2014;346;346;327;327;327;30864900
17/12/2014;327;334;315;320;320;37567900
18/12/2014;320;324;304;311;311;39173000
19/12/2014;311;319;307;318;318;23823100
20/12/2014;318;330;316;330;330;20856700
21/12/2014;330;330;319;321;321;15207600
22/12/2014;321;334;320;332;332;22315100
23/12/2014;332;336;330;335;335;16574200
24/12/2014;334;335;321;323;323;15092300
25/12/2014;322;323;317;319;319;9883640
26/12/2014;319;331;317;328;328;16410500
27/12/2014;328;329;313;316;316;15185200
28/12/2014;316;320;311;317;317;11676600
29/12/2014;318;320;312;313;313;12302500
30/12/2014;313;315;309;311;311;12528300
31/12/2014;311;320;310;320;320;13942900
01/01/2015;320;320;314;314;314;8036550
02/01/2015;314;316;314;315;315;7860650
03/01/2015;315;315;281;281;281;33054400
04/01/2015;281;287;258;264;264;55629100
05/01/2015;265;278;265;274;274;43962800
06/01/2015;275;288;273;286;286;23245700
07/01/2015;286;299;283;294;294;24866800
08/01/2015;294;294;282;283;283;19982500
09/01/2015;282;291;281;290;290;18718600
10/01/2015;287;288;274;275;275;15264300
11/01/2015;275;280;265;266;266;18200800
12/01/2015;266;272;265;268;268;18880300
13/01/2015;267;268;220;226;226;72843904
14/01/2015;224;224;172;178;178;97638704
15/01/2015;177;229;177;210;210;81773504
16/01/2015;209;222;200;208;208;38421000
17/01/2015;208;212;195;199;199;23469700
18/01/2015;200;219;195;210;210;30085100
19/01/2015;211;217;207;215;215;18658300
20/01/2015;213;215;205;211;211;24051100
21/01/2015;211;228;211;227;227;29924600
22/01/2015;227;237;226;233;233;33544600
23/01/2015;234;235;225;233;233;24621700
24/01/2015;233;248;230;248;248;24782500
25/01/2015;247;255;244;254;254;33582700
26/01/2015;254;309;254;273;273;106794000
27/01/2015;273;275;251;263;263;44399000
28/01/2015;263;267;227;234;234;44352200
29/01/2015;233;239;221;234;234;32213400
30/01/2015;233;243;226;226;226;26605200
31/01/2015;226;234;216;217;217;23348200
01/02/2015;217;232;212;227;227;29128500
02/02/2015;226;242;223;238;238;30612100
03/02/2015;237;246;224;227;227;40783700
04/02/2015;228;230;221;227;227;26594300
05/02/2015;228;239;215;217;217;22516400
06/02/2015;217;231;216;222;222;24435300
07/02/2015;223;230;223;228;228;21604200
08/02/2015;228;229;221;223;223;17145200
09/02/2015;223;224;217;220;220;27791300
10/02/2015;220;222;215;220;220;21115100
11/02/2015;220;223;218;219;219;17201900
12/02/2015;219;222;218;222;222;15206200
13/02/2015;222;240;221;235;235;42744400
14/02/2015;236;260;236;257;257;49732500
15/02/2015;258;266;228;235;235;56552400
16/02/2015;235;240;229;234;234;28153700
17/02/2015;233;246;232;244;244;27363100
18/02/2015;244;244;232;236;236;25200800
19/02/2015;236;243;236;240;240;18270500
20/02/2015;240;247;239;244;244;23876700
21/02/2015;244;255;243;245;245;12284200
22/02/2015;245;246;234;236;236;19527000
23/02/2015;236;240;232;239;239;16400000
24/02/2015;239;240;236;239;239;14200400
25/02/2015;239;239;236;237;237;11496200
26/02/2015;237;238;234;236;236;13619400
27/02/2015;236;257;236;254;254;44013900
28/02/2015;254;255;249;254;254;13949300
01/03/2015;254;262;246;260;260;25213700
02/03/2015;260;276;258;276;276;40465700
03/03/2015;275;286;268;282;282;50461300
04/03/2015;282;284;268;273;273;41383000
05/03/2015;273;282;265;276;276;41302400
06/03/2015;276;278;270;273;273;28918900
07/03/2015;272;278;270;276;276;17825900
08/03/2015;276;278;273;274;274;22067900
09/03/2015;275;293;274;290;290;59178200
10/03/2015;290;300;290;292;292;67770800
11/03/2015;292;297;291;296;296;33963900
12/03/2015;296;297;292;294;294;32585200
13/03/2015;294;294;285;285;285;31421500
14/03/2015;284;286;281;282;282;22612300
15/03/2015;281;287;281;286;286;11970100
16/03/2015;286;294;286;291;291;21516100
17/03/2015;291;292;284;286;286;21497200
18/03/2015;285;285;250;256;256;57008000
19/03/2015;256;264;249;261;261;52732000
20/03/2015;261;265;259;262;262;18456700
21/03/2015;262;262;256;260;260;17130100
22/03/2015;260;270;260;268;268;18438100
23/03/2015;268;277;262;267;267;22811900
24/03/2015;267;267;244;246;246;40073700
25/03/2015;247;249;237;246;246;35866900
26/03/2015;246;254;245;249;249;25730000
27/03/2015;249;257;245;247;247;17274900
28/03/2015;247;254;247;253;253;16040900
29/03/2015;253;253;241;243;243;21699400
30/03/2015;243;249;239;248;248;23009600
31/03/2015;247;249;243;244;244;22672000
01/04/2015;244;248;241;247;247;22877200
02/04/2015;247;254;245;253;253;26272600
03/04/2015;253;256;252;254;254;23146600
04/04/2015;254;255;251;254;254;12493500
05/04/2015;254;261;252;261;261;19649200
06/04/2015;261;262;255;255;255;20034200
07/04/2015;255;256;252;253;253;18467400
08/04/2015;253;254;244;245;245;30086400
09/04/2015;245;246;239;244;244;21643500
10/04/2015;244;244;233;236;236;28882000
11/04/2015;236;240;234;237;237;16365200
12/04/2015;237;238;233;236;236;12387900
13/04/2015;236;237;222;225;225;31181800
14/04/2015;225;225;216;219;219;31719000
15/04/2015;219;224;219;224;224;22562000
16/04/2015;224;230;224;229;229;24805400
17/04/2015;229;229;222;223;223;20429800
18/04/2015;223;224;221;223;223;12939000
19/04/2015;223;226;222;223;223;15021500
20/04/2015;223;226;222;225;225;18364700
21/04/2015;225;235;224;235;235;24978000
22/04/2015;236;238;233;234;234;23847900
23/04/2015;234;236;233;236;236;17036000
24/04/2015;236;236;230;231;231;21448700
25/04/2015;231;233;226;226;226;13957200
26/04/2015;226;227;215;219;219;28943700
27/04/2015;219;233;218;229;229;38574000
28/04/2015;229;229;223;226;226;21469200
29/04/2015;226;227;223;226;226;18936500
30/04/2015;226;240;225;236;236;33818600
01/05/2015;236;239;232;232;232;18815300
02/05/2015;232;236;232;235;235;12535500
03/05/2015;235;243;234;240;240;18494100
04/05/2015;240;243;238;239;239;21223400
05/05/2015;239;239;232;236;236;23929100
06/05/2015;236;236;229;230;230;29587200
07/05/2015;230;239;229;237;237;29064400
08/05/2015;237;246;236;244;244;27445500
09/05/2015;244;248;240;242;242;19790500
10/05/2015;242;244;239;240;240;15019100
11/05/2015;240;244;239;242;242;20892300
12/05/2015;242;243;240;241;241;19282600
13/05/2015;241;244;235;236;236;27180100
14/05/2015;236;238;234;237;237;24413700
15/05/2015;237;239;237;238;238;16329400
16/05/2015;238;238;235;236;236;11089700
17/05/2015;236;238;236;237;237;11134300
18/05/2015;237;237;232;233;233;16780300
19/05/2015;233;234;232;232;232;14241900
20/05/2015;232;235;232;234;234;15499400
21/05/2015;234;236;234;235;235;15108900
22/05/2015;235;241;235;240;240;27003000
23/05/2015;240;241;239;239;239;14605000
